system,split,beam_size,normalization,weight_token_logprob_avg,weight_summac_style_score,weight_factcc_style_score,weight_entity_support_score,rouge1,rouge2,rougeL,rougeLsum,summac_style_score,factcc_style_score,entity_support_score,factuality_composite,summary_len_tokens
custom_0104,val_tune,16,zscore,0.0,1.0,0.0,1.0,0.458677,0.230904,0.376951,0.376951,0.338871,0.316528,0.687129,0.447509,23.3125
custom_0101,val_tune,16,zscore,0.0,1.0,0.0,0.25,0.458047,0.23098,0.376607,0.376607,0.342471,0.317545,0.682205,0.447407,23.046875
custom_0479,val_tune,16,zscore,0.75,1.0,0.0,1.0,0.464949,0.235476,0.381084,0.381084,0.329809,0.327974,0.684196,0.447327,23.296875
custom_0053,val_tune,16,zscore,0.0,0.5,0.0,0.75,0.460777,0.231335,0.378159,0.378159,0.333416,0.316133,0.690116,0.446555,23.34375
custom_0097,val_tune,8,zscore,0.0,0.75,1.0,0.5,0.46416,0.231855,0.376553,0.376553,0.268967,0.40939,0.659997,0.446118,24.109375
custom_0067,val_tune,8,zscore,0.0,0.5,0.75,0.5,0.464953,0.231855,0.377029,0.377029,0.268999,0.409161,0.660183,0.446114,23.90625
custom_0098,val_tune,8,zscore,0.0,0.75,1.0,0.75,0.463751,0.230605,0.375827,0.375827,0.268962,0.409115,0.66025,0.446109,23.90625
custom_0099,val_tune,8,zscore,0.0,0.75,1.0,1.0,0.466116,0.232367,0.378192,0.378192,0.268698,0.409115,0.660424,0.446079,23.953125
custom_0061,val_tune,8,zscore,0.0,0.5,0.5,0.25,0.464555,0.232033,0.37679,0.37679,0.269904,0.408335,0.659905,0.446048,24.0625
custom_0122,val_tune,8,zscore,0.0,1.0,1.0,0.5,0.464555,0.232033,0.37679,0.37679,0.269904,0.408335,0.659905,0.446048,24.0625
custom_0092,val_tune,8,zscore,0.0,0.75,0.75,0.5,0.465348,0.232033,0.377266,0.377266,0.269936,0.408105,0.66009,0.446044,23.859375
custom_0117,val_tune,8,zscore,0.0,1.0,0.75,0.5,0.465348,0.232033,0.377266,0.377266,0.269936,0.408105,0.66009,0.446044,23.859375
custom_0123,val_tune,8,zscore,0.0,1.0,1.0,0.75,0.465348,0.232033,0.377266,0.377266,0.269936,0.408105,0.66009,0.446044,23.859375
custom_0031,val_tune,8,zscore,0.0,0.25,0.25,0.25,0.464146,0.230783,0.376064,0.376064,0.269899,0.40806,0.660158,0.446039,23.859375
